genome_name	sgb_id	usgb	study	sample_name	genome_size	n_fifty	number_contigs	completeness	contamination	assigned_species	assigned_genus	assigned_family	assigned_order	assigned_class	assigned_phylum	assigned_kingdom	closest_species	closest_genus	closest_family	closest_order	closest_class	closest_phylum	closest_kingdom	average_distance	sequence_url	annotations_url	uniref_url
AsnicarF_2017__MV_FEI1_t1Q14__bin.8	10068	No	AsnicarF_2017	MV_FEI1_t1Q14	4685619	261276	31	95.68	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/AsnicarF_2017__MV_FEI1_t1Q14__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/AsnicarF_2017__MV_FEI1_t1Q14__bin.8.txt
AsnicarF_2017__MV_FEI1_t1Q14__bin.9	10141	No	AsnicarF_2017	MV_FEI1_t1Q14	3331471	109740	46	78.86	0.33	Enterobacter asburiae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter asburiae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10141/AsnicarF_2017__MV_FEI1_t1Q14__bin.9.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10141.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10141/AsnicarF_2017__MV_FEI1_t1Q14__bin.9.txt
AsnicarF_2017__MV_FEI3_t1Q14__bin.3	10083	No	AsnicarF_2017	MV_FEI3_t1Q14	4556033	32566	247	50.86	0.00	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10083/AsnicarF_2017__MV_FEI3_t1Q14__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10083.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10083/AsnicarF_2017__MV_FEI3_t1Q14__bin.3.txt
AsnicarF_2017__MV_FEI3_t1Q14__bin.6	10068	No	AsnicarF_2017	MV_FEI3_t1Q14	3565399	89378	63	77.59	0.00	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/AsnicarF_2017__MV_FEI3_t1Q14__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/AsnicarF_2017__MV_FEI3_t1Q14__bin.6.txt
AsnicarF_2017__MV_FEI4_t1Q14__bin.5	10068	No	AsnicarF_2017	MV_FEI4_t1Q14	4642432	88083	88	99.07	0.78	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/AsnicarF_2017__MV_FEI4_t1Q14__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/AsnicarF_2017__MV_FEI4_t1Q14__bin.5.txt
AsnicarF_2017__MV_FEI4_t2Q15__bin.6	10068	No	AsnicarF_2017	MV_FEI4_t2Q15	4569681	13165	496	95.86	2.57	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/AsnicarF_2017__MV_FEI4_t2Q15__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/AsnicarF_2017__MV_FEI4_t2Q15__bin.6.txt
BackhedF_2015__SID103_12M__bin.22	10086	No	BackhedF_2015	SID103_12M	2318461	3392	736	55.91	0.52	Citrobacter braakii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Citrobacter braakii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10086/BackhedF_2015__SID103_12M__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10086.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10086/BackhedF_2015__SID103_12M__bin.22.txt
BackhedF_2015__SID103_4M__bin.3	10133	No	BackhedF_2015	SID103_4M	4465505	19742	366	61.91	0.00	Enterobacter kobei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.00	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10133/BackhedF_2015__SID103_4M__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10133.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10133/BackhedF_2015__SID103_4M__bin.3.txt
BackhedF_2015__SID103_4M__bin.5	10120	No	BackhedF_2015	SID103_4M	5380914	51487	157	95.05	0.17	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella sp	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10120/BackhedF_2015__SID103_4M__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10120.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10120/BackhedF_2015__SID103_4M__bin.5.txt
BackhedF_2015__SID103_M__bin.21	10068	No	BackhedF_2015	SID103_M	4726644	131970	63	99.37	0.11	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID103_M__bin.21.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID103_M__bin.21.txt
BackhedF_2015__SID105_12M__bin.10	10063	No	BackhedF_2015	SID105_12M	4028394	7349	702	70.69	1.72	Escherichia albertii	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia albertii	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10063/BackhedF_2015__SID105_12M__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10063.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10063/BackhedF_2015__SID105_12M__bin.10.txt
BackhedF_2015__SID10_4M__bin.7	10068	No	BackhedF_2015	SID10_4M	4282489	21504	348	95.44	0.66	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID10_4M__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID10_4M__bin.7.txt
